Country,Cities,Day,Time,Date,Temperature,Hour,Time_Slot,Coolest
Australia,Alice Springs,Tuesday,08:06:00,2026-01-13,15,8,Morning,0
Hong Kong,Hong Kong,Tuesday,18:06:00,2026-01-13,17,18,Evening,0
United States,Phoenix,Tuesday,02:06:00,2026-01-13,0,2,Night,1
Kazakhstan,Almaty,Tuesday,16:36:00,2026-01-13,40,16,Afternoon,0
Solomon Islands,Honiara,Tuesday,15:06:00,2026-01-13,22,15,Afternoon,0
Niue,Alofi,Tuesday,12:06:00,2026-01-13,1,12,Afternoon,0
United States,Honolulu,Tuesday,18:06:00,2026-01-13,31,18,Evening,0
Montenegro,Podgorica,Tuesday,03:06:00,2026-01-13,9,3,Night,0
Jordan,Amman,Monday,20:06:00,2026-01-12,26,20,Evening,0
United States,Houston,Monday,21:06:00,2026-01-12,22,21,Evening,0
Netherlands,Amsterdam,Tuesday,10:06:00,2026-01-13,5,10,Morning,0
United States,Amsterdam,Tuesday,10:06:00,2026-01-13,5,10,Morning,0
Mongolia,Hovd,Tuesday,01:06:00,2026-01-13,10,1,Night,0
Portugal,Ponta Delgada,Tuesday,02:06:00,2026-01-13,17,2,Night,0
Russia,Anadyr,Tuesday,08:06:00,2026-01-13,7,8,Morning,0
United States,Indianapolis,Tuesday,14:06:00,2026-01-13,2,14,Afternoon,0
Indonesia,Pontianak,Tuesday,06:06:00,2026-01-13,12,6,Morning,0
United States,Anchorage,Tuesday,19:06:00,2026-01-13,25,19,Evening,0
India,Indore,Tuesday,02:06:00,2026-01-13,2,2,Night,0
Turkey,Ankara,Monday,22:06:00,2026-01-12,18,22,Evening,0
Mauritius,Port Louis,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Madagascar,Antananarivo,Tuesday,10:06:00,2026-01-13,2,10,Morning,0
Russia,Irkutsk,Tuesday,00:06:00,2026-01-13,28,0,Night,0
Samoa,Apia,Tuesday,10:06:00,2026-01-13,24,10,Morning,0
Pakistan,Islamabad,Tuesday,15:06:00,2026-01-13,13,15,Afternoon,0
Turkey,Istanbul,Tuesday,12:06:00,2026-01-13,12,12,Afternoon,0
United States,Portland,Tuesday,18:06:00,2026-01-13,30,18,Evening,0
United States,Portland,Tuesday,18:06:00,2026-01-13,30,18,Evening,0
United States,Portland,Tuesday,18:06:00,2026-01-13,30,18,Evening,0
United States,Portland,Tuesday,18:06:00,2026-01-13,30,18,Evening,0
Australia,Portland,Tuesday,18:06:00,2026-01-13,30,18,Evening,0
Turkmenistan,Ashgabat,Tuesday,12:06:00,2026-01-13,6,12,Afternoon,0
Cabo Verde,Porto Novo,Monday,23:06:00,2026-01-12,5,23,Evening,0
Kazakhstan,Astana,Tuesday,12:06:00,2026-01-13,14,12,Afternoon,0
Russia,Izhevsk,Tuesday,05:06:00,2026-01-13,8,5,Night,0
Czechia,Prague,Tuesday,08:06:00,2026-01-13,27,8,Morning,0
United States,Jackson,Tuesday,11:06:00,2026-01-13,9,11,Morning,0
United States,Jackson,Tuesday,11:06:00,2026-01-13,9,11,Morning,0
United States,Jackson,Tuesday,11:06:00,2026-01-13,9,11,Morning,0
United States,Jackson,Tuesday,11:06:00,2026-01-13,9,11,Morning,0
United States,Jackson,Tuesday,11:06:00,2026-01-13,9,11,Morning,0
United States,Jackson,Tuesday,11:06:00,2026-01-13,9,11,Morning,0
United States,Jackson,Tuesday,11:06:00,2026-01-13,9,11,Morning,0
United States,Jackson,Tuesday,11:06:00,2026-01-13,9,11,Morning,0
Cabo Verde,Praia,Tuesday,08:06:00,2026-01-13,1,8,Morning,0
Greece,Athens,Tuesday,04:06:00,2026-01-13,20,4,Night,0
United States,Athens,Tuesday,04:06:00,2026-01-13,20,4,Night,0
United States,Athens,Tuesday,04:06:00,2026-01-13,20,4,Night,0
United States,Athens,Tuesday,04:06:00,2026-01-13,20,4,Night,0
United States,Athens,Tuesday,04:06:00,2026-01-13,20,4,Night,0
United States,Athens,Tuesday,04:06:00,2026-01-13,20,4,Night,0
Indonesia,Jakarta,Tuesday,01:06:00,2026-01-13,0,1,Night,1
South Africa,Pretoria,Tuesday,06:06:00,2026-01-13,20,6,Morning,0
United States,Atlanta,Tuesday,09:06:00,2026-01-13,2,9,Morning,0
United States,Jamestown,Tuesday,14:06:00,2026-01-13,29,14,Afternoon,0
United States,Jamestown,Tuesday,14:06:00,2026-01-13,29,14,Afternoon,0
"Saint Helena, Ascension, and Tristan da Cunha",Jamestown,Tuesday,14:06:00,2026-01-13,29,14,Afternoon,0
Kosovo,Pristina,Tuesday,09:06:00,2026-01-13,19,9,Morning,0
Indonesia,Jayapura,Tuesday,02:06:00,2026-01-13,1,2,Night,0
United States,Providence,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
United States,Providence,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
United States,Augusta,Tuesday,08:06:00,2026-01-13,7,8,Morning,0
Italy,Augusta,Tuesday,08:06:00,2026-01-13,7,8,Morning,0
United States,Augusta,Tuesday,08:06:00,2026-01-13,7,8,Morning,0
United States,Augusta,Tuesday,08:06:00,2026-01-13,7,8,Morning,0
Israel,Jerusalem,Tuesday,20:06:00,2026-01-13,22,20,Evening,0
India,Pune,Tuesday,16:06:00,2026-01-13,33,16,Afternoon,0
United States,Austin,Tuesday,02:06:00,2026-01-13,0,2,Night,1
United States,Austin,Tuesday,02:06:00,2026-01-13,0,2,Night,1
South Africa,Johannesburg,Tuesday,02:06:00,2026-01-13,1,2,Night,0
Chile,Punta Arenas,Tuesday,09:06:00,2026-01-13,5,9,Morning,0
United States,Juneau,Tuesday,01:06:00,2026-01-13,9,1,Night,0
"Korea, North",Pyongyang,Tuesday,09:06:00,2026-01-13,16,9,Morning,0
Azerbaijan,Baku,Tuesday,04:06:00,2026-01-13,9,4,Night,0
Russia,Kaliningrad,Tuesday,01:06:00,2026-01-13,28,1,Night,0
Indonesia,Balikpapan,Tuesday,16:06:00,2026-01-13,7,16,Afternoon,0
Uganda,Kampala,Tuesday,11:06:00,2026-01-13,8,11,Morning,0
United States,Baltimore,Tuesday,09:06:00,2026-01-13,11,9,Morning,0
United States,Raleigh,Tuesday,15:06:00,2026-01-13,28,15,Afternoon,0
Mali,Bamako,Tuesday,10:06:00,2026-01-13,23,10,Morning,0
United States,Kansas City,Tuesday,08:06:00,2026-01-13,10,8,Morning,0
United States,Kansas City,Tuesday,08:06:00,2026-01-13,10,8,Morning,0
United States,Rapid City,Tuesday,02:06:00,2026-01-13,2,2,Night,0
Brunei,Bandar Seri Begawan,Tuesday,05:06:00,2026-01-13,7,5,Night,0
Pakistan,Karachi,Tuesday,02:06:00,2026-01-13,1,2,Night,0
Indonesia,Bandung,Tuesday,01:06:00,2026-01-13,7,1,Night,0
Nepal,Kathmandu,Tuesday,00:06:00,2026-01-13,14,0,Night,0
Brazil,Recife,Tuesday,15:06:00,2026-01-13,30,15,Afternoon,0
Thailand,Bangkok,Tuesday,12:06:00,2026-01-13,22,12,Afternoon,0
Russia,Kazan,Monday,21:06:00,2026-01-12,24,21,Evening,0
Canada,Regina,Tuesday,14:06:00,2026-01-13,22,14,Afternoon,0
Central African Republic,Bangui,Tuesday,12:51:00,2026-01-13,16,12,Afternoon,0
Philippines,Bangui,Tuesday,12:51:00,2026-01-13,16,12,Afternoon,0
Finland,Kemi,Tuesday,04:06:00,2026-01-13,27,4,Night,0
"Gambia, The",Banjul,Tuesday,10:06:00,2026-01-13,2,10,Morning,0
Russia,Khatanga,Tuesday,01:06:00,2026-01-13,3,1,Night,0
Spain,Barcelona,Tuesday,09:06:00,2026-01-13,12,9,Morning,0
Venezuela,Barcelona,Tuesday,09:06:00,2026-01-13,12,9,Morning,0
Philippines,Barcelona,Tuesday,09:06:00,2026-01-13,12,9,Morning,0
Rwanda,Kigali,Tuesday,01:06:00,2026-01-13,21,1,Night,0
United States,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
Canada,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
United States,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
United States,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
United States,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
United Kingdom,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
New Zealand,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
United States,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
Australia,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
Australia,Richmond,Tuesday,07:06:00,2026-01-13,19,7,Morning,0
Jamaica,Kingston,Tuesday,07:06:00,2026-01-13,3,7,Morning,0
Canada,Kingston,Tuesday,07:06:00,2026-01-13,3,7,Morning,0
United States,Kingston,Tuesday,07:06:00,2026-01-13,3,7,Morning,0
United States,Kingston,Tuesday,07:06:00,2026-01-13,3,7,Morning,0
United States,Kingston,Tuesday,07:06:00,2026-01-13,3,7,Morning,0
Australia,Kingston,Tuesday,07:06:00,2026-01-13,3,7,Morning,0
Norfolk Island,Kingston,Tuesday,07:06:00,2026-01-13,3,7,Morning,0
Latvia,Riga,Tuesday,08:06:00,2026-01-13,10,8,Morning,0
India,Riga,Tuesday,08:06:00,2026-01-13,10,8,Morning,0
Saint Vincent and the Grenadines,Kingstown,Tuesday,02:06:00,2026-01-13,1,2,Night,0
Brazil,Rio Branco,Tuesday,03:06:00,2026-01-13,22,3,Night,0
China,Beijing,Tuesday,02:06:00,2026-01-13,24,2,Night,0
Congo (Kinshasa),Kinshasa,Tuesday,09:06:00,2026-01-13,9,9,Morning,0
Lebanon,Beirut,Tuesday,03:06:00,2026-01-13,26,3,Night,0
Saudi Arabia,Riyadh,Tuesday,15:06:00,2026-01-13,5,15,Afternoon,0
United States,Knoxville,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Italy,Rome,Tuesday,04:06:00,2026-01-13,27,4,Night,0
United States,Rome,Tuesday,04:06:00,2026-01-13,27,4,Night,0
United States,Rome,Tuesday,04:06:00,2026-01-13,27,4,Night,0
United Kingdom,Belfast,Tuesday,09:06:00,2026-01-13,13,9,Morning,0
Dominica,Roseau,Tuesday,10:06:00,2026-01-13,17,10,Morning,0
Serbia,Belgrade,Tuesday,04:06:00,2026-01-13,26,4,Night,0
United States,Belgrade,Tuesday,04:06:00,2026-01-13,26,4,Night,0
Finland,Rovaniemi,Tuesday,08:06:00,2026-01-13,7,8,Morning,0
Belize,Belmopan,Tuesday,07:06:00,2026-01-13,6,7,Morning,0
United States,Sacramento,Tuesday,03:06:00,2026-01-13,25,3,Night,0
Brazil,Sacramento,Tuesday,03:06:00,2026-01-13,25,3,Night,0
Russia,Krasnoyarsk,Tuesday,12:36:00,2026-01-13,22,12,Afternoon,0
Malaysia,Kuala Lumpur,Tuesday,17:06:00,2026-01-13,20,17,Afternoon,0
Germany,Berlin,Monday,23:06:00,2026-01-12,5,23,Evening,0
United States,Berlin,Monday,23:06:00,2026-01-12,5,23,Evening,0
Switzerland,Bern,Tuesday,11:06:00,2026-01-13,29,11,Morning,0
Kuwait,Kuwait City,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
India,Bhubaneshwar,Tuesday,03:06:00,2026-01-13,24,3,Night,0
Ukraine,Kyiv,Tuesday,08:06:00,2026-01-13,0,8,Morning,1
United States,Petersburg,Tuesday,02:06:00,2026-01-13,19,2,Night,0
United States,Billings,Tuesday,03:06:00,2026-01-13,4,3,Night,0
India,Salem,Tuesday,10:06:00,2026-01-13,17,10,Morning,0
United States,Salem,Tuesday,10:06:00,2026-01-13,17,10,Morning,0
United States,Salem,Tuesday,10:06:00,2026-01-13,17,10,Morning,0
United States,Salem,Tuesday,10:06:00,2026-01-13,17,10,Morning,0
United States,Salem,Tuesday,10:06:00,2026-01-13,17,10,Morning,0
United States,Salem,Tuesday,10:06:00,2026-01-13,17,10,Morning,0
United States,Salem,Tuesday,10:06:00,2026-01-13,17,10,Morning,0
Kyrgyzstan,Bishkek,Tuesday,03:06:00,2026-01-13,25,3,Night,0
Bolivia,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Mexico,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Argentina,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Philippines,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Honduras,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Philippines,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Uruguay,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Philippines,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Philippines,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
Argentina,La Paz,Tuesday,12:36:00,2026-01-13,26,12,Afternoon,0
United States,Salt Lake City,Tuesday,09:06:00,2026-01-13,15,9,Morning,0
India,Salt Lake City,Tuesday,09:06:00,2026-01-13,15,9,Morning,0
United States,Bismarck,Tuesday,10:06:00,2026-01-13,8,10,Morning,0
Nigeria,Lagos,Tuesday,00:06:00,2026-01-13,10,0,Night,0
Portugal,Lagos,Tuesday,00:06:00,2026-01-13,10,0,Night,0
Brazil,Salvador,Tuesday,16:06:00,2026-01-13,14,16,Afternoon,0
Cuba,Salvador,Tuesday,16:06:00,2026-01-13,14,16,Afternoon,0
Guinea-Bissau,Bissau,Monday,23:06:00,2026-01-12,3,23,Evening,0
Pakistan,Lahore,Tuesday,13:06:00,2026-01-13,12,13,Afternoon,0
Russia,Samara,Tuesday,03:06:00,2026-01-13,6,3,Night,0
United States,Las Vegas,Tuesday,01:06:00,2026-01-13,6,1,Night,0
United States,Las Vegas,Tuesday,01:06:00,2026-01-13,6,1,Night,0
United States,San Diego,Tuesday,08:06:00,2026-01-13,25,8,Morning,0
Venezuela,San Diego,Tuesday,08:06:00,2026-01-13,25,8,Morning,0
Colombia,San Diego,Tuesday,08:06:00,2026-01-13,25,8,Morning,0
United States,Bogota,Tuesday,04:06:00,2026-01-13,26,4,Night,0
China,Lhasa,Tuesday,07:06:00,2026-01-13,20,7,Morning,0
United States,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Mexico,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Philippines,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Argentina,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Philippines,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
El Salvador,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Costa Rica,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Guatemala,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Honduras,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
Honduras,San Francisco,Tuesday,12:06:00,2026-01-13,8,12,Afternoon,0
United States,Boise,Tuesday,11:06:00,2026-01-13,3,11,Morning,0
Gabon,Libreville,Tuesday,03:06:00,2026-01-13,5,3,Night,0
United States,Boston,Monday,23:06:00,2026-01-12,12,23,Evening,0
United Kingdom,Boston,Monday,23:06:00,2026-01-12,12,23,Evening,0
Philippines,Boston,Monday,23:06:00,2026-01-12,12,23,Evening,0
Malawi,Lilongwe,Tuesday,02:06:00,2026-01-13,13,2,Night,0
Peru,Lima,Tuesday,00:06:00,2026-01-13,1,0,Night,0
United States,Lima,Tuesday,00:06:00,2026-01-13,1,0,Night,0
Paraguay,Lima,Tuesday,00:06:00,2026-01-13,1,0,Night,0
Puerto Rico,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Argentina,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Dominican Republic,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Philippines,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Philippines,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Trinidad and Tobago,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Philippines,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
United States,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Philippines,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Costa Rica,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Philippines,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Philippines,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Honduras,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Philippines,San Juan,Tuesday,08:06:00,2026-01-13,26,8,Morning,0
Slovakia,Bratislava,Tuesday,01:06:00,2026-01-13,20,1,Night,0
United States,Lincoln,Tuesday,02:06:00,2026-01-13,2,2,Night,0
United Kingdom,Lincoln,Tuesday,02:06:00,2026-01-13,2,2,Night,0
United States,Lincoln,Tuesday,02:06:00,2026-01-13,2,2,Night,0
Argentina,Lincoln,Tuesday,02:06:00,2026-01-13,2,2,Night,0
Canada,Lincoln,Tuesday,02:06:00,2026-01-13,2,2,Night,0
United States,Lincoln,Tuesday,02:06:00,2026-01-13,2,2,Night,0
United States,Lincoln,Tuesday,02:06:00,2026-01-13,2,2,Night,0
United States,San Marino,Tuesday,09:06:00,2026-01-13,23,9,Morning,0
San Marino,San Marino,Tuesday,09:06:00,2026-01-13,23,9,Morning,0
Congo (Brazzaville),Brazzaville,Monday,23:06:00,2026-01-12,8,23,Evening,0
Portugal,Lisbon,Tuesday,04:06:00,2026-01-13,20,4,Night,0
United States,Lisbon,Tuesday,04:06:00,2026-01-13,20,4,Night,0
El Salvador,San Salvador,Tuesday,02:06:00,2026-01-13,22,2,Night,0
Mexico,San Salvador,Tuesday,02:06:00,2026-01-13,22,2,Night,0
Argentina,San Salvador,Tuesday,02:06:00,2026-01-13,22,2,Night,0
Barbados,Bridgetown,Tuesday,03:06:00,2026-01-13,24,3,Night,0
United States,Bridgetown,Tuesday,03:06:00,2026-01-13,24,3,Night,0
United States,Little Rock,Tuesday,08:06:00,2026-01-13,3,8,Morning,0
Australia,Brisbane,Tuesday,01:06:00,2026-01-13,6,1,Night,0
Slovenia,Ljubljana,Tuesday,08:06:00,2026-01-13,1,8,Morning,0
Dominican Republic,Santo Domingo,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Philippines,Santo Domingo,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Cuba,Santo Domingo,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Costa Rica,Santo Domingo,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Philippines,Santo Domingo,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Philippines,Santo Domingo,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Nicaragua,Santo Domingo,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Colombia,Santo Domingo,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
Belgium,Brussels,Tuesday,07:06:00,2026-01-13,14,7,Morning,0
Romania,Bucharest,Tuesday,03:06:00,2026-01-13,26,3,Night,0
United Kingdom,London,Tuesday,01:06:00,2026-01-13,6,1,Night,0
Canada,London,Tuesday,01:06:00,2026-01-13,6,1,Night,0
United States,London,Tuesday,01:06:00,2026-01-13,6,1,Night,0
Hungary,Budapest,Tuesday,04:06:00,2026-01-13,19,4,Night,0
Svalbard,Longyearbyen,Tuesday,17:06:00,2026-01-13,30,17,Afternoon,0
Japan,Sapporo,Tuesday,08:06:00,2026-01-13,2,8,Morning,0
Argentina,Buenos Aires,Tuesday,03:06:00,2026-01-13,23,3,Night,0
Colombia,Buenos Aires,Tuesday,03:06:00,2026-01-13,23,3,Night,0
Brazil,Buenos Aires,Tuesday,03:06:00,2026-01-13,23,3,Night,0
United States,Los Angeles,Tuesday,08:06:00,2026-01-13,9,8,Morning,0
Bosnia and Herzegovina,Sarajevo,Tuesday,07:06:00,2026-01-13,27,7,Morning,0
Burundi,Bujumbura,Tuesday,04:06:00,2026-01-13,23,4,Night,0
United States,Louisville,Tuesday,09:06:00,2026-01-13,10,9,Morning,0
United States,Louisville,Tuesday,09:06:00,2026-01-13,10,9,Morning,0
United States,Louisville,Tuesday,09:06:00,2026-01-13,10,9,Morning,0
United States,Seattle,Tuesday,07:06:00,2026-01-13,10,7,Morning,0
Australia,Cairns,Tuesday,07:06:00,2026-01-13,24,7,Morning,0
Angola,Luanda,Tuesday,08:06:00,2026-01-13,7,8,Morning,0
"Korea, South",Seoul,Tuesday,08:06:00,2026-01-13,1,8,Morning,0
Egypt,Cairo,Tuesday,16:06:00,2026-01-13,1,16,Afternoon,0
United States,Cairo,Tuesday,16:06:00,2026-01-13,1,16,Afternoon,0
China,Shanghai,Monday,23:06:00,2026-01-12,14,23,Evening,0
Canada,Calgary,Tuesday,08:06:00,2026-01-13,5,8,Morning,0
Luxembourg,Luxembourg,Tuesday,09:06:00,2026-01-13,24,9,Morning,0
China,Shenzhen,Tuesday,02:06:00,2026-01-13,4,2,Night,0
United States,Madison,Monday,23:06:00,2026-01-12,12,23,Evening,0
United States,Madison,Monday,23:06:00,2026-01-12,12,23,Evening,0
United States,Madison,Monday,23:06:00,2026-01-12,12,23,Evening,0
United States,Madison,Monday,23:06:00,2026-01-12,12,23,Evening,0
United States,Madison,Monday,23:06:00,2026-01-12,12,23,Evening,0
Singapore,Singapore,Tuesday,17:06:00,2026-01-13,31,17,Afternoon,0
Spain,Madrid,Tuesday,08:06:00,2026-01-13,25,8,Morning,0
Colombia,Madrid,Tuesday,08:06:00,2026-01-13,25,8,Morning,0
Philippines,Madrid,Tuesday,08:06:00,2026-01-13,25,8,Morning,0
United States,Sioux Falls,Tuesday,16:06:00,2026-01-13,1,16,Afternoon,0
South Africa,Cape Town,Tuesday,09:06:00,2026-01-13,12,9,Morning,0
Russia,Magadan,Tuesday,12:36:00,2026-01-13,6,12,Afternoon,0
North Macedonia,Skopje,Tuesday,15:06:00,2026-01-13,17,15,Afternoon,0
Venezuela,Caracas,Tuesday,00:06:00,2026-01-13,8,0,Night,0
Marshall Islands,Majuro,Tuesday,08:06:00,2026-01-13,6,8,Morning,0
Bulgaria,Sofia,Tuesday,15:06:00,2026-01-13,24,15,Afternoon,0
Indonesia,Makassar,Tuesday,01:06:00,2026-01-13,2,1,Night,0
Saint Lucia,Castries,Tuesday,01:06:00,2026-01-13,7,1,Night,0
Equatorial Guinea,Malabo,Tuesday,09:06:00,2026-01-13,22,9,Morning,0
French Guiana,Cayenne,Tuesday,08:06:00,2026-01-13,5,8,Morning,0
Maldives,Male,Tuesday,03:06:00,2026-01-13,23,3,Night,0
United States,Charleston,Tuesday,09:06:00,2026-01-13,7,9,Morning,0
United States,Charleston,Tuesday,09:06:00,2026-01-13,7,9,Morning,0
United States,Charleston,Tuesday,09:06:00,2026-01-13,7,9,Morning,0
Indonesia,Manado,Tuesday,07:06:00,2026-01-13,8,7,Morning,0
United Kingdom,Stanley,Tuesday,15:06:00,2026-01-13,29,15,Afternoon,0
Canada,Stanley,Tuesday,15:06:00,2026-01-13,29,15,Afternoon,0
Falkland Islands (Islas Malvinas),Stanley,Tuesday,15:06:00,2026-01-13,29,15,Afternoon,0
Russia,Chelyabinsk,Tuesday,12:36:00,2026-01-13,29,12,Afternoon,0
Nicaragua,Managua,Tuesday,08:06:00,2026-01-13,11,8,Morning,0
Sweden,Stockholm,Tuesday,10:06:00,2026-01-13,26,10,Morning,0
India,Chennai,Tuesday,03:36:00,2026-01-13,1,3,Night,0
Bahrain,Manama,Tuesday,03:06:00,2026-01-13,26,3,Night,0
Indonesia,Surabaya,Tuesday,08:06:00,2026-01-13,24,8,Morning,0
United States,Cheyenne,Tuesday,01:06:00,2026-01-13,7,1,Night,0
Brazil,Manaus,Tuesday,04:06:00,2026-01-13,23,4,Night,0
Fiji,Suva,Tuesday,12:06:00,2026-01-13,31,12,Afternoon,0
Philippines,Manila,Tuesday,02:06:00,2026-01-13,3,2,Night,0
China,Suzhou,Tuesday,15:06:00,2026-01-13,28,15,Afternoon,0
China,Suzhou,Tuesday,15:06:00,2026-01-13,28,15,Afternoon,0
United States,Chicago,Tuesday,04:06:00,2026-01-13,7,4,Night,0
Indonesia,Manokwari,Tuesday,12:06:00,2026-01-13,17,12,Afternoon,0
Russia,Chita,Tuesday,01:06:00,2026-01-13,24,1,Night,0
Japan,Chita,Tuesday,01:06:00,2026-01-13,24,1,Night,0
Colombia,Chita,Tuesday,01:06:00,2026-01-13,24,1,Night,0
Mozambique,Maputo,Tuesday,08:06:00,2026-01-13,2,8,Morning,0
Taiwan,Taipei,Tuesday,12:36:00,2026-01-13,29,12,Afternoon,0
Estonia,Tallinn,Tuesday,14:06:00,2026-01-13,30,14,Afternoon,0
China,Chongqing,Tuesday,00:06:00,2026-01-13,7,0,Night,0
Kiribati,Tarawa,Tuesday,19:06:00,2026-01-13,25,19,Evening,0
Sri Lanka,Colombo,Tuesday,02:06:00,2026-01-13,7,2,Night,0
Brazil,Colombo,Tuesday,02:06:00,2026-01-13,7,2,Night,0
Uzbekistan,Tashkent,Tuesday,15:06:00,2026-01-13,17,15,Afternoon,0
United States,Columbia,Tuesday,01:06:00,2026-01-13,1,1,Night,0
United States,Columbia,Tuesday,01:06:00,2026-01-13,1,1,Night,0
United States,Columbia,Tuesday,01:06:00,2026-01-13,1,1,Night,0
United States,Columbia,Tuesday,01:06:00,2026-01-13,1,1,Night,0
United States,Columbia,Tuesday,01:06:00,2026-01-13,1,1,Night,0
United States,Columbia,Tuesday,01:06:00,2026-01-13,1,1,Night,0
Eswatini,Mbabane,Tuesday,16:06:00,2026-01-13,32,16,Afternoon,0
Georgia,Tbilisi,Tuesday,18:06:00,2026-01-13,26,18,Evening,0
United States,Columbus,Tuesday,16:06:00,2026-01-13,28,16,Afternoon,0
United States,Columbus,Tuesday,16:06:00,2026-01-13,28,16,Afternoon,0
United States,Columbus,Tuesday,16:06:00,2026-01-13,28,16,Afternoon,0
United States,Columbus,Tuesday,16:06:00,2026-01-13,28,16,Afternoon,0
United States,Columbus,Tuesday,16:06:00,2026-01-13,28,16,Afternoon,0
Saudi Arabia,Medina,Tuesday,09:06:00,2026-01-13,24,9,Morning,0
Philippines,Medina,Tuesday,09:06:00,2026-01-13,24,9,Morning,0
United States,Medina,Tuesday,09:06:00,2026-01-13,24,9,Morning,0
Brazil,Medina,Tuesday,09:06:00,2026-01-13,24,9,Morning,0
Colombia,Medina,Tuesday,09:06:00,2026-01-13,24,9,Morning,0
Honduras,Tegucigalpa,Tuesday,15:06:00,2026-01-13,22,15,Afternoon,0
Guinea,Conakry,Tuesday,09:06:00,2026-01-13,10,9,Morning,0
Iran,Tehran,Tuesday,10:06:00,2026-01-13,8,10,Morning,0
United States,Concord,Tuesday,09:06:00,2026-01-13,9,9,Morning,0
United States,Concord,Tuesday,09:06:00,2026-01-13,9,9,Morning,0
United States,Concord,Tuesday,09:06:00,2026-01-13,9,9,Morning,0
United States,Concord,Tuesday,09:06:00,2026-01-13,9,9,Morning,0
United States,Concord,Tuesday,09:06:00,2026-01-13,9,9,Morning,0
United States,Concord,Tuesday,09:06:00,2026-01-13,9,9,Morning,0
Mexico,Mexicali,Tuesday,15:06:00,2026-01-13,16,15,Afternoon,0
Denmark,Copenhagen,Tuesday,19:06:00,2026-01-13,30,19,Evening,0
Mexico,Mexico City,Tuesday,12:36:00,2026-01-13,29,12,Afternoon,0
Bhutan,Thimphu,Tuesday,00:06:00,2026-01-13,19,0,Night,0
United States,Miami,Tuesday,02:06:00,2026-01-13,0,2,Night,1
